测试用例 ID,测试模块,测试子模块,测试用例名称,测试步骤,预期结果,优先级
TC001,分支基础查询,本地分支查询,查询所有本地分支信息完整性,1. 执行本地分支查询命令；2. 核对输出内容。,输出所有本地分支的名称、最后提交时间、最后提交人，信息准确无遗漏,高
TC002,分支基础查询,本地分支查询,本地分支名称模糊搜索（feature 关键词）,1. 输入模糊搜索关键词「feature」；2. 查看筛选结果。,仅显示名称包含「feature」的本地分支,中
TC003,分支基础查询,本地分支查询,本地分支名称模糊搜索（bugfix 关键词）,1. 输入模糊搜索关键词「bugfix」；2. 查看筛选结果。,仅显示名称包含「bugfix」的本地分支,中
TC004,分支基础查询,远程分支查询,查询所有远程分支并标注同步状态,1. 执行远程分支查询命令；2. 核对分支同步标记。,输出所有远程分支，且准确标注「已同步 / 未同步」,高
TC005,分支基础查询,远程分支查询,远程分支名称模糊搜索（release 关键词）,1. 输入模糊搜索关键词「release」；2. 查看筛选结果。,仅显示名称包含「release」的远程分支,中
TC006,分支创建规范,命名规范校验,合规创建 feature 分支,1. 按「feature/REQ001-user-login」命名创建分支；2. 检查创建结果。,分支创建成功,高
TC007,分支创建规范,命名规范校验,合规创建 bugfix 分支,1. 按「bugfix/BUG002-order-calc-error」命名创建分支；2. 检查结果。,分支创建成功,高
TC008,分支创建规范,命名规范校验,合规创建 release 分支,1. 按「release/v1.2.0」命名创建分支；2. 检查创建结果。,分支创建成功,高
TC009,分支创建规范,命名规范校验,合规创建 hotfix 分支,1. 按「hotfix/HF001-payment-timeout」命名创建分支；2. 检查结果。,分支创建成功,高
TC010,分支创建规范,命名规范校验,命名不合规时拒绝创建分支,1. 输入「feature/REQ001」（缺失功能名称）创建分支；2. 检查结果。,提示命名错误，分支创建失败,高
TC011,分支创建规范,基准分支指定,默认基于 main 分支创建分支,1. 不指定基准分支，执行创建命令；2. 检查分支基准。,分支基于 main 分支创建成功,高
TC012,分支创建规范,基准分支指定,手动指定 develop 为基准创建分支,1. 指定 develop 为基准分支，执行创建命令；2. 检查分支基准。,分支基于 develop 分支创建成功,中
TC013,分支合并与删除,分支合并,合并 feature 分支到 develop 分支,1. 执行合并命令，将 feature 分支合并到 develop；2. 检查合并结果。,合并成功，develop 分支包含 feature 分支代码,高
TC014,分支合并与删除,分支合并,禁止直接合并到 main 分支,1. 执行将 feature 分支直接合并到 main 的命令；2. 检查结果。,提示 main 为保护分支，合并失败,高
TC015,分支合并与删除,分支合并,合并有冲突时输出冲突信息,1. 构造代码冲突场景；2. 执行合并命令；3. 查看输出内容。,合并失败，输出冲突文件名称及具体冲突位置,高
TC016,分支合并与删除,本地分支删除,删除已合并的本地分支,1. 确认分支已合并到基准分支；2. 执行删除命令；3. 检查结果。,分支删除成功,高
TC017,分支合并与删除,本地分支删除,未合并分支删除时二次确认,1. 确认分支未合并；2. 执行删除命令；3. 查看提示信息。,弹出二次确认提示，确认后可删除，取消则保留分支,中
TC018,分支合并与删除,本地分支删除,禁止删除当前检出分支,1. 检出目标分支；2. 执行删除该分支的命令；3. 检查结果。,提示当前分支已检出，删除失败,高
TC019,分支合并与删除,远程分支删除,删除非保护远程分支,1. 确认远程分支非保护状态；2. 执行删除命令；3. 检查结果。,远程分支删除成功,高
TC020,分支合并与删除,远程分支删除,禁止删除保护远程分支,1. 确认远程分支为保护状态；2. 执行删除命令；3. 检查结果。,提示分支为保护分支，删除失败,高
TC021,分支状态校验,提交差异校验,校验本地分支领先远程的提交数,1. 构造本地领先远程的提交场景；2. 执行状态校验命令；3. 核对数值。,准确显示本地领先远程的提交数量,高
TC022,分支状态校验,提交差异校验,校验本地分支落后远程的提交数,1. 构造本地落后远程的提交场景；2. 执行状态校验命令；3. 核对数值。,准确显示本地落后远程的提交数量,高
TC023,分支状态校验,规范与更新校验,标记超 30 天未更新的非保护分支,1. 构造非保护分支超 30 天未更新场景；2. 执行状态校验；3. 查看标记。,该分支被标记为「待清理」,中
TC024,分支状态校验,规范与更新校验,保护分支超 30 天未更新不标记「待清理」,1. 构造保护分支超 30 天未更新场景；2. 执行状态校验；3. 查看标记。,该分支不显示「待清理」标记,中
TC025,非功能需求,兼容性,Windows 系统下功能正常运行,1. 在 Windows 系统部署工具；2. 执行核心功能用例；3. 检查结果。,所有核心功能正常执行,高
TC026,非功能需求,兼容性,Linux 系统下功能正常运行,1. 在 Linux 系统部署工具；2. 执行核心功能用例；3. 检查结果。,所有核心功能正常执行,高
TC027,非功能需求,兼容性,macOS 系统下功能正常运行,1. 在 macOS 系统部署工具；2. 执行核心功能用例；3. 检查结果。,所有核心功能正常执行,高
TC028,非功能需求,兼容性,兼容 Git 2.0 版本,1. 安装 Git 2.0；2. 执行核心功能用例；3. 检查结果。,所有核心功能正常执行,高
TC029,非功能需求,易用性,错误提示包含明确解决方案,1. 触发命名不合规错误；2. 查看错误提示内容。,提示中包含「分支命名需遵循 xxx 规范，示例：xxx」等解决方案,中
TC030,非功能需求,性能,查询 100 个分支响应时间≤2 秒,1. 构造 100 个分支的仓库环境；2. 执行分支查询命令；3. 记录响应时间。,响应时间≤2 秒,中
TC031,非功能需求,安全性,禁止直接推送代码到 main 分支,1. 执行直接推送代码到 main 分支的命令；2. 检查结果。,推送失败，提示 main 为保护分支,高
TC032,非功能需求,安全性,操作日志记录完整性,1. 执行创建 / 合并 / 删除分支操作；2. 查看操作日志。,日志中记录操作人、操作时间、操作类型、操作结果,高
